Name;Part of body
Barbell Chest Press;Chest
Dumbbell Chest Press;Chest
Wide-Grip Chest Press;Chest
Dips;Chest
Close-Grip Bench Press;Chest
Cable Crossover;Chest
Seated Pec Deck Machine;Chest
Push-Ups;Chest
Squat;Legs
Leg Curl;Legs
Leg Extension;Legs
Bulgarian Split Squat;Legs
Calf Raise;Legs
Deadlift;Legs
Front Squat;Legs
Dumbbell Lunge;Legs
Machine Squat;Legs
Standing Dumbbell Curl;Biceps
Hammer Curl;Biceps
Incline Dumbbell Curl;Biceps
Overhead Cable Curl;Biceps
Decline Dumbbell Curl;Biceps
Chin-Up;Biceps
Regular-Grip Bar Curl;Biceps
Wide-Grip Chest Press;Biceps
Close-Grip Bench Press;Triceps
Cable Rope Triceps Pushdown;Triceps
Lying Triceps Extensions;Triceps
Triceps Dips;Triceps
Diamond Push-Ups;Triceps
Bench Dip;Triceps
One-Arm Overhead Extensions;Triceps
Barbell Overhead Shoulder Press;Shoulders
Seated Dumbbell Shoulder Press;Shoulders
Front Raise;Shoulders
Reverse Pec Deck Fly;Shoulders
Bent-Over Dumbbell Lateral Raise;Shoulders
Dumbbell Lateral Raise;Shoulders
Push Press;Shoulders
One-Arm Cable Lateral Raise;Shoulders
Standing Barbell Shrugs;Shoulders
Dumbbell Crunch;Abdominals
Tuck and crunch;Abdominals
V-Sit;Abdominals
Crunch;Abdominals
Hanging Leg Raise;Abdominals
Hanging Knee Raise;Abdominals
Plank;Abdominals
Russian Twist;Abdominals
Bicycle Crunches;Abdominals
Deadlift;Back
Pull-Up;Back
Bent-Over Row;Back
Chest Supported Row;Back
Single-Arm Row;Back
Inverted Row;Back
Lat Pulldown;Back
Seated Cable Row ;Back
Dumbbell Wrist Flexion;Forearm
Dumbbell Wrist Extension;Forearm
Farmers Walk;Forearm
Towel Pull-Up Bar Hang;Forearm
Crab Walk;Forearm
